the_geom,cartodb_id,the_geom_webmercator,mooring_type,maritime_asset_id,crc,publish_date,asset_owner,symbol,ref_id
0101000020E610000003E2B3CFD5E36240B8B646CB10FF40C0,4100,0101000020110F0000B5CE0A8C130B7041054BE1EDD6BA4EC1,Emergency Mooring,CGR251,AE4C14BD24464604,20220111,Transport (Maritime),483,1669
0101000020E6100000E9BAAE9A48F3624032C19FCECF9240C0,4101,0101000020110F0000132B985A32187041E6FAC1D025DE4DC1,Courtesy Mooring,NLM254,1428FE45FD9BAF5D,20220111,Transport (Maritime),482,1736
0101000020E6100000E4A70DBE30F962400A2C5305A37240C0,4102,0101000020110F00002A8F019D361D704132AFA565F79C4DC1,Courtesy Mooring,NHR153,F41C9D4F0065365B,20220111,Transport (Maritime),482,7036
0101000020E610000022B6B97BABEA62409E157DA52CB840C0,4103,0101000020110F00000CD9428BE1107041179CD4C6122A4EC1,Emergency Mooring,CBW279,AA504C9DFF008288,20220111,Transport (Maritime),483,1682
0101000020E6100000CC2A22CB6FE9624090C6ADFA5CD340C0,4462,0101000020110F00002E44B46DD50F7041C320372C7C614EC1,Emergency Mooring,CPT032,F4F88C56E9CBE60C,20220513,Transport (Maritime),483,1775
0101000020E61000009B08D4B3590D63401B1C4EF8C23840C0,4105,0101000020110F000067677CD1552E70413296CE102F284DC1,Courtesy Mooring,NML491,4AFEDF31F75CC248,20220111,Transport (Maritime),482,1774
0101000020E6100000C91CFC6744E56240AD5CD8C6380A41C0,4106,0101000020110F0000E9F06AE54A0C7041AD3F3C01B5D14EC1,Courtesy Mooring,CPH080,24FA912415370A9F,20220111,Transport (Maritime),482,1712
0101000020E6100000B58A453251E062400E8F256DBDFD40C0,4463,0101000020110F0000DA288BA7160870414B6DEFB41FB84EC1,Courtesy Mooring,CUG242,3D44C741ED865B39,20220513,Transport (Maritime),482,7032
0101000020E61000001F50586624E1624028159CD4AAFE40C0,4464,0101000020110F000032449307CA087041E4F6270A06BA4EC1,Courtesy Mooring,CGR190,97BEB7030F645ACA,20220513,Transport (Maritime),482,1628
0101000020E6100000AF4AD47D00EA62401E71031914D040C0,4465,0101000020110F00002ACD135250107041E395C192C85A4EC1,Emergency Mooring,CPT020,2D9C94134EA0FC88,20220513,Transport (Maritime),483,1704
0101000020E6100000F5065D5824F36240B701B6E6A18740C0,4467,0101000020110F0000612A1E8F13187041F9CEF8A67AC74DC1,Emergency Mooring,NLM283,A17442E6B52ADC8E,20220513,Transport (Maritime),483,3030
0101000020E6100000EE1821D59DF2624042981E85EB8D40C0,4111,0101000020110F0000A83F4351A11770417FD740CF39D44DC1,Courtesy Mooring,NLM361,8FFFE16EBB96D409,20220111,Transport (Maritime),482,7048
0101000020E6100000ED2C91C8D1E8624063BE48E7D6D240C0,4468,0101000020110F0000AB82063B4F0F7041B5AF81976A604EC1,Emergency Mooring,CPT028,BCFD08DBC173426D,20220513,Transport (Maritime),483,1647
0101000020E6100000CB7C1A71EEEA6240959B1CB62DBC40C0,4469,0101000020110F0000055A70691A117041576D14B539324EC1,Courtesy Mooring,CBW287,6F493B86C4A5E727,20220513,Transport (Maritime),482,1532
0101000020E610000042A221EE72E66240AD25A36370EC40C0,4113,0101000020110F0000D45074D44B0D7041967B6D36B6944EC1,Emergency Mooring,CPJ425,885A72DD7D2CA0EE,20220111,Transport (Maritime),483,1729
0101000020E61000006E1A41E602F36240817B56DD388C40C0,4114,0101000020110F00000CDF5027F71770413D318D75C8D04DC1,Courtesy Mooring,NLM221,238824B0939AB681,20220111,Transport (Maritime),482,1503
0101000020E61000009A600A19B5DF62400368FB2D14B140C0,4470,0101000020110F0000761B751492077041C3AE257AA21B4EC1,Courtesy Mooring,CHR834,B0241EEE9701553A,20220513,Transport (Maritime),482,1545
0101000020E610000008BC562E41E9624092B653D649D040C0,4471,0101000020110F0000998B2DD7AD0F7041B9930D33365B4EC1,Courtesy Mooring,CPT062,58F0BAF088837D71,20220513,Transport (Maritime),482,1557
0101000020E610000006F785FE68E76240A20FAE1E85E340C0,4116,0101000020110F0000F0A0E9CF1C0E7041621437597A824EC1,Courtesy Mooring,CMH076,ADDDA9BF1DAE57E9,20220111,Transport (Maritime),482,1507
0101000020E6100000469E751A69E76240A7FC3B6EE5EE40C0,4472,0101000020110F0000B387A3E71C0E70417A6C12E1BC994EC1,Emergency Mooring,CPJ422,F805BCF92F5E4170,20220513,Transport (Maritime),483,1570
0101000020E6100000D722DF6CF3DF6240D766E329BEFC40C0,4473,0101000020110F000076F3BF03C70770410A2F07D614B64EC1,Emergency Mooring,CUG300,46B92EDD078B1937,20220513,Transport (Maritime),483,1486
0101000020E6100000A0234723B3056340B27130FFDB5B40C0,4119,0101000020110F000018A6A268D6277041FEE7564AEF6E4DC1,Courtesy Mooring,NPS313,C0B0A3CA5C60D5C6,20220111,Transport (Maritime),486,5830
0101000020E6100000C5B2B73D5409634036F9AE72683D40C0,4120,0101000020110F000065A9167FEB2A70413AE8C5AA89314DC1,Courtesy Mooring,NML467,62508FECF4AE3859,20220111,Transport (Maritime),482,1592
0101000020E610000097EE35E2C9056340240F7AA1945B40C0,4121,0101000020110F000057D20DBAE9277041104DD6355F6E4DC1,Courtesy Mooring,NPS314,F1C5CFE5144FC7C3,20220111,Transport (Maritime),486,5831
0101000020E61000007CF937A1101063406926C5A4D21640C0,4474,0101000020110F000074563105A43070418FC56544F9E34CC1,Courtesy Mooring,NWS182,873D739EC09143C3,20220513,Transport (Maritime),482,1617
0101000020E6100000EDCDE35E73D5624086E52B3DC08441C0,4122,0101000020110F00006ECB1819B8FD6F41B4DED4256FCE4FC1,Courtesy Mooring,SCC050,F42D2B760052E609,20220111,Transport (Maritime),482,1655
0101000020E61000004AD4306F3A046340C06171CCF15B40C0,4123,0101000020110F000062AC6F79962670410AE3714E1B6F4DC1,Courtesy Mooring,NPS018,AD52297E84B17F6B,20220111,Transport (Maritime),482,1694
0101000020E6100000E0B4663C24DD624056F5D255A73C41C0,4475,0101000020110F00001987F83464057041100B9F2160394FC1,Emergency Mooring,SPK029,64B4EC5EBA492CA7,20220513,Transport (Maritime),483,1771
0101000020E6100000C1D9E5BAFF016340E59C850C905740C0,4124,0101000020110F0000035C69C6B1247041819D640243664DC1,Courtesy Mooring,NPS186,3BDCB06798D2674E,20220111,Transport (Maritime),482,1511
0101000020E61000007E8D94EEA431634093C6A627A82F3CC0,4125,0101000020110F000038CDC8DC284D7041C7C2EB4B88F748C1,Courtesy Mooring,NTR200,07A00A19C378C675,20220111,Transport (Maritime),482,2231
0101000020E610000095C443600DE962402BB1AFAA69E640C0,4126,0101000020110F000069B8B1D7810F70415E7EA7E363884EC1,Courtesy Mooring,CMH101,CCD4B2F53ED2D846,20220111,Transport (Maritime),482,1792
0101000020E610000064506E1283E86240D4E5CB85A4ED40C0,4127,0101000020110F0000512982610C0F7041344AEB712C974EC1,Courtesy Mooring,CMH119,F2DF10EFB7613056,20220111,Transport (Maritime),482,1666
0101000020E610000093CDF433ECE7624088D3EA280FEF40C0,4128,0101000020110F000094B76D3F8C0E7041960E7B3E129A4EC1,Emergency Mooring,CPJ421,6BE8B649A7A4E28B,20220111,Transport (Maritime),483,1523
0101000020E61000003382676994E96240985AB4D800CD40C0,4476,0101000020110F0000CD7D4687F40F7041800206DB82544EC1,Emergency Mooring,CPT006,4762118C6A16961A,20220513,Transport (Maritime),483,1653
0101000020E61000009AD7CDF753F36240B9271CD5827F40C0,4130,0101000020110F0000DAEE4F013C18704112C6AE7A06B74DC1,Emergency Mooring,NLM282,6C34144820018F4F,20220111,Transport (Maritime),483,3029
0101000020E610000074CC70F9EA06634071B0B570B54140C0,4132,0101000020110F0000C0EA6A40DF2870419D0B73FE323A4DC1,Courtesy Mooring,NML463,A00A416F6FB25B1D,20220111,Transport (Maritime),482,1611
0101000020E6100000706EC5B45CD76240985C9C0B497341C0,4133,0101000020110F0000D44B4CA47B0070418F2319293BAA4FC1,Courtesy Mooring,SSR129,55DE0470E12E73F9,20220111,Transport (Maritime),482,1786
0101000020E6100000FED7BE502DEF624050F44B4F58AE40C0,4477,0101000020110F0000E94B747EB51470415BE3BCF312164EC1,Emergency Mooring,CTL110,2E5B05172355F4DF,20220513,Transport (Maritime),483,1724
0101000020E6100000110579337D2063409C5D02EABAE53EC0,4135,0101000020110F000039ADC9F6963E7041994A80C9329D4BC1,Courtesy Mooring,NMC201,0F055624FDD0AD87,20220111,Transport (Maritime),482,1494
0101000020E610000006FE78AE6FDA62401A631478278141C0,4136,0101000020110F0000727A2E05180370417D8FFE4AF9C64FC1,Courtesy Mooring,SCU008,C9B9455A6121FF60,20220111,Transport (Maritime),482,1737
0101000020E61000007436F79C05E96240D6B64F4C63E640C0,4137,0101000020110F00009D69E13F7B0F7041D0A008DF56884EC1,Courtesy Mooring,CMH104,75F750C09EA2CB47,20220111,Transport (Maritime),482,1717
0101000020E61000003DA4ABBEC4C5624043FF3E883EDA41C0,4138,0101000020110F0000A3AB1EDA14E36F419DCAD87C434050C1,Courtesy Mooring,SBB055,CD4306674FE18A8C,20220111,Transport (Maritime),482,4229
0101000020E61000009FC09E889BE36240BCC07FA9240841C0,4139,0101000020110F0000F0BE420DE20A7041546D90D771CD4EC1,Emergency Mooring,CPH127,4849D66753EE65FC,20220111,Transport (Maritime),483,1707
0101000020E61000007CBB2FCF49EA624076DD49DA7ECA40C0,4140,0101000020110F00009DF7E5968E107041F69F4EBE654F4EC1,Emergency Mooring,CPT004,7A48DE84EDC8DAC6,20220111,Transport (Maritime),483,1801
0101000020E61000009D6A4694F6E762409B3562A1D6CC40C0,4478,0101000020110F0000D0E3700F950E70418DCB18C32C544EC1,Courtesy Mooring,CCC623,31DF02D5CAB74701,20220513,Transport (Maritime),482,1720
0101000020E6100000707DBDB952DC624074A39869FBB740C0,4479,0101000020110F0000484F0945B2047041B757678FAE294EC1,Courtesy Mooring,CHR963,269783969CC90A00,20220513,Transport (Maritime),482,1781
0101000020E610000098B8C2A95FDF624060E8A3B02BFB40C0,4142,0101000020110F0000522C2C8549077041FD437185DCB24EC1,Emergency Mooring,CUG240,0F83580936221340,20220111,Transport (Maritime),483,1483
0101000020E6100000EA0E935F2CF96240737B43D2947240C0,4143,0101000020110F00008AE414E7321D7041C22A16ACDA9C4DC1,Courtesy Mooring,NHR150,D2EA6E8CCA14D38A,20220111,Transport (Maritime),482,7033
0101000020E6100000AAA1F782F6E76240DF59C14F90E740C0,4144,0101000020110F0000A6D2BD00950E7041815D2833BE8A4EC1,Courtesy Mooring,CMH100,72F2AA06AF50F5F1,20220111,Transport (Maritime),482,1485
0101000020E61000000C8D9F0A25DD6240D6646338B13C41C0,4481,0101000020110F0000D0811DE4640570415157B97F74394FC1,Emergency Mooring,SPK030,92ACB64A040B30CE,20220513,Transport (Maritime),483,1588
0101000020E61000002BAEAA676AEB62401795F32E85C240C0,4146,0101000020110F0000F9089DB183117041A615477A243F4EC1,Courtesy Mooring,CBW276,5EAD88D78EAC6545,20220111,Transport (Maritime),482,1581
0101000020E6100000A848FC63CCBC62405DFCE01C4A8942C0,4147,0101000020110F000017306643D8D36F41703F34E2F2F850C1,Emergency Mooring,STB102,CE07D512D2A7FE11,20220111,Transport (Maritime),483,3428
0101000020E610000021778301C7BC6240FC712EBA408942C0,4148,0101000020110F0000DD04ED1DCFD36F412F9EA4E4E8F850C1,Courtesy Mooring,STB103,99D835D16AA4FF3A,20220111,Transport (Maritime),486,2235
0101000020E6100000ED72A50F02E9624020ED864B5FE640C0,4149,0101000020110F0000E563983B780F704190454BB04E884EC1,Courtesy Mooring,CMH105,0250413AE228F1AE,20220111,Transport (Maritime),482,1651
0101000020E6100000FF69AC9320E16240999FEF609EFE40C0,4482,0101000020110F0000C8A663C8C6087041BC51CD87ECB94EC1,Courtesy Mooring,CGR184,42B38676F368A753,20220513,Transport (Maritime),482,1631
0101000020E61000006E2A8F4698246340BBC05506E84D3EC0,4151,0101000020110F0000D1E457A413427041564DC4EB63074BC1,Courtesy Mooring,NCH019,691662C4CE6C8F33,20220111,Transport (Maritime),482,1785
0101000020E6100000F7EFA90147E5624043C66B05460A41C0,4152,0101000020110F0000C474C71A4D0C7041A9FBAF2AD0D14EC1,Courtesy Mooring,CPH081,775F28A5E6519A5F,20220111,Transport (Maritime),482,1826
0101000020E6100000BB52B25399E362402AFCC0F2FAEA40C0,4153,0101000020110F0000E191782DE00A704189C08B7FBA914EC1,Emergency Mooring,CPR828,13B1FEC1A178A028,20220111,Transport (Maritime),483,1478
0101000020E610000032B057C320E5624061E4211D460041C0,4154,0101000020110F0000AA2EDB9F2C0C7041D50A79AB50BD4EC1,Courtesy Mooring,CBB221,D7CAC8D5726DABEE,20220111,Transport (Maritime),482,1664
0101000020E6100000D32580F47F0563409F55D528E85B40C0,4155,0101000020110F0000054571F0AA277041252387D8076F4DC1,Courtesy Mooring,NPS188,2FC6FD0356F2D4FF,20220111,Transport (Maritime),482,1648
0101000020E61000003FE10F1FCFE36240C82FB27DD30141C0,4156,0101000020110F0000EAF87EDD0D0B7041F4887CED7EC04EC1,Emergency Mooring,CGR192,0528D11BBE115E1D,20220111,Transport (Maritime),483,1697
0101000020E61000007145BA89D5E36240A765DC8E53EC40C0,4157,0101000020110F000081C59C50130B70412ACF433F7B944EC1,Courtesy Mooring,CPR830,905EC4CF96FA5F2F,20220111,Transport (Maritime),482,1509
0101000020E6100000BE42B868DBF262408A324344448440C0,4158,0101000020110F000069F8489DD51770415B48FC9EA8C04DC1,Courtesy Mooring,NLM364,47C5B4F8B7B6E467,20220111,Transport (Maritime),482,7051
0101000020E61000004BD52FEC0A096340C61716A5BD3D40C0,4159,0101000020110F000020C41E3AAD2A7041863DF03735324DC1,Courtesy Mooring,NML492,BA787A159C415799,20220111,Transport (Maritime),482,1703
0101000020E6100000855550D7EDE76240A33ACD48AAE640C0,4483,0101000020110F0000A8CD96A38D0E7041903387F9E7884EC1,Courtesy Mooring,CMH088,CAC6F9990455E9BC,20220513,Transport (Maritime),482,1706
0101000020E610000049C44D611CE56240F576D4265A0041C0,4161,0101000020110F00002F87E8E6280C7041BE5CECB979BD4EC1,Courtesy Mooring,CBB219,2118EEC36A4338E9,20220111,Transport (Maritime),482,1700
0101000020E61000007D06C4F528E762406ED151A1B1E540C0,4162,0101000020110F0000E1D7896DE60D7041CF841AB7EB864EC1,Courtesy Mooring,CMH083,0F995201FE596884,20220111,Transport (Maritime),482,1784
0101000020E61000002FF5F5554C2063407CC989635DE43EC0,4484,0101000020110F00006F9274766D3E70417B18E2D9D89B4BC1,Emergency Mooring,NMC200,085C3918BDC5C555,20220513,Transport (Maritime),483,1711
0101000020E6100000A90B4A312DF962400916415A897240C0,4163,0101000020110F000095443199331D704142B0B378C39C4DC1,Courtesy Mooring,NHR152,078728BF70BC7091,20220111,Transport (Maritime),482,7035
0101000020E6100000B46511A5BDF3624090E5184EAC7E40C0,4164,0101000020110F0000F362A8C1951870414336740554B54DC1,Courtesy Mooring,NLM354,4EE2BDBC5BD91598,20220111,Transport (Maritime),482,7041
0101000020E6100000EF621A0AB2E962408F70385AE8D140C0,4485,0101000020110F0000AD5EF6B00D10704153FFA0DC835E4EC1,Emergency Mooring,CPT024,3A9B6BD42E49160A,20220513,Transport (Maritime),483,1556
0101000020E6100000548B7CAB88E96240577C7DF0C7CC40C0,4486,0101000020110F0000BB30598EEA0F7041F1E263CD0E544EC1,Courtesy Mooring,CPT065,B0A7B1B1C703DE93,20220513,Transport (Maritime),482,1688
0101000020E61000006735F26EBFC66240D78097E2AADC41C0,4487,0101000020110F00004A62FBABBEE46F4181307D63CC4250C1,Courtesy Mooring,SBB051,DE7BF209F2FB4E13,20220513,Transport (Maritime),486,1548
0101000020E6100000679D6D0F550D6340E17E3B95F93840C0,4167,0101000020110F0000E4692DE0512E7041230425FD9C284DC1,Courtesy Mooring,NML483,57212217A5845139,20220111,Transport (Maritime),482,1726
0101000020E610000009E7AF26CDE762409F0BC1B8A8EC40C0,4168,0101000020110F0000019F1CE0710E70419D3BF16C29954EC1,Courtesy Mooring,CPJ433,6B984FE860FF5D4D,20220111,Transport (Maritime),482,1568
0101000020E610000066BD10A28F0A6340BCFE69BA493C40C0,4169,0101000020110F0000342CE45BF72B7041BB66305E482F4DC1,Courtesy Mooring,NML472,40F434A3AB8427DA,20220111,Transport (Maritime),482,1699
0101000020E6100000BFD887855A056340A3820581955540C0,4488,0101000020110F0000C9829F258B277041539AFDCF44624DC1,Courtesy Mooring,NMR281,5346CD904F9F959E,20220513,Transport (Maritime),482,1540
0101000020E61000003F9EFAA6C3F06240740885EB519040C0,4170,0101000020110F0000C5E391980E16704128BFDFDA17D94DC1,Courtesy Mooring,NLM351,F93883A7C72AC689,20220111,Transport (Maritime),482,7038
0101000020E61000007455D93B46E362409C128805B40841C0,4171,0101000020110F000086BB489B990A7041F8ECF7CB97CE4EC1,Courtesy Mooring,CPH102,567801F41B4D34FE,20220111,Transport (Maritime),482,1818
0101000020E6100000E200968B20E562404AE72828380041C0,4172,0101000020110F00008B8980702C0C7041F299B41234BD4EC1,Courtesy Mooring,CBB222,DCA7D53221A7F799,20220111,Transport (Maritime),482,1572
0101000020E6100000B2DB107008E46240BCA1817B8B0041C0,4489,0101000020110F0000D461488B3E0B7041ED69AACDDEBD4EC1,Emergency Mooring,CGR186,095CEB72A9D639D2,20220513,Transport (Maritime),483,1601
0101000020E6100000B123044EC9E7624059CEF35487EC40C0,4490,0101000020110F0000A898D49B6E0E7041B853A422E5944EC1,Courtesy Mooring,CPJ431,A4B2F662156ABF40,20220513,Transport (Maritime),482,1741
0101000020E6100000F26BC8C5AB196340DB5D304461A63FC0,4491,0101000020110F000045193192CC387041EA68B04FA25C4CC1,Emergency Mooring,NCM071,A7F96D0C9C9C8F66,20220513,Transport (Maritime),483,1805
0101000020E61000005B59822459E76240E19933702DFE40C0,4492,0101000020110F0000F29F70590F0E704120C0BA2905B94EC1,Courtesy Mooring,CBB225,FC20560B90DA59A6,20220513,Transport (Maritime),482,1718
0101000020E6100000EF4235BDB1E86240F667CD3E7CEC40C0,4493,0101000020110F000026F7E803340F7041E6F0FD75CE944EC1,Courtesy Mooring,CMH117,7FBF39C35151254B,20220513,Transport (Maritime),482,1543
0101000020E6100000F8879B559FE5624034047B36ABEA40C0,4424,0101000020110F0000762B1C1F980C70416D59507217914EC1,Emergency Mooring,CPJ428,38AE559F9E22B7F0,20220111,Transport (Maritime),483,1638
0101000020E6100000A8BA1BB0720363402F713D5DB75B40C0,4425,0101000020110F0000EB0765D4EC25704183C03255A56E4DC1,Emergency Mooring,NPS207,3C009504D4F7B543,20220111,Transport (Maritime),483,1757
0101000020E6100000DB620EA90FE1624065B2CFE5E0FC40C0,4494,0101000020110F0000A706656AB8087041E78231FB5BB64EC1,Courtesy Mooring,CGR255,5D61A1CD5FD8B000,20220513,Transport (Maritime),482,1787
0101000020E6100000C061D60FC4E762403B09218819E740C0,4175,0101000020110F0000AEE9EA276A0E70417F342E62CB894EC1,Courtesy Mooring,CMH087,13A5B58BD5B05177,20220111,Transport (Maritime),482,1660
0101000020E6100000CE5702924AEA6240D786C1D134CE40C0,4176,0101000020110F00005E7D5C3C8F107041F3DD9BF5F6564EC1,Emergency Mooring,CPT071,29C92EF593D15C4F,20220111,Transport (Maritime),483,4631
0101000020E610000029A68701B8D5624010F45E46B18841C0,4495,0101000020110F00002CD798AE2CFE6F4196507CD69CD64FC1,Courtesy Mooring,SJB033,1608EC485ACF9597,20220513,Transport (Maritime),482,1607
0101000020E610000025FC5AAF93E4624006CC5BE4A60841C0,4178,0101000020110F0000AF7689CEB40B7041D67CD0DF7CCE4EC1,Courtesy Mooring,CPH126,D5687EF08743648D,20220111,Transport (Maritime),482,1797
0101000020E61000007B701F3EC31F63406D9AD98173DE3EC0,4179,0101000020110F0000F7948C07F93D7041AE19E7BCFE954BC1,Emergency Mooring,NMC204,F9C847DBBD888C2F,20220111,Transport (Maritime),483,7067
0101000020E610000010BE167B44E36240CF0BD5EFC20841C0,4180,0101000020110F00005DE9261E980A704175078361B6CE4EC1,Courtesy Mooring,CPH104,697EABECCFB31038,20220111,Transport (Maritime),482,1821
0101000020E61000006C4B291567E762405F49FBEABDE340C0,4181,0101000020110F0000F91C4C301B0E7041E095476BEE824EC1,Courtesy Mooring,CMH073,AB85F374DB0AAA27,20220111,Transport (Maritime),482,1489
0101000020E6100000754BF170870A63402AA9BAA44E3C40C0,4182,0101000020110F00004AE1CD66F02B70412DF2A243522F4DC1,Courtesy Mooring,NML469,01A00367FE6DCED7,20220111,Transport (Maritime),482,1530
0101000020E610000048B2490C02E4624072EB65801ECB40C0,4496,0101000020110F00002C18041E390B7041DA33E042AB504EC1,Courtesy Mooring,CBC737,94D27E0717D53B70,20220513,Transport (Maritime),482,1504
0101000020E6100000BCA23AB2DEE362404D24DF0FE9CB40C0,4183,0101000020110F0000D255CC171B0B704121E2F24C48524EC1,Emergency Mooring,CBC741,235AA750D326D15D,20220111,Transport (Maritime),483,1635
0101000020E61000003C95190784E96240A1EFB11EE4CC40C0,4497,0101000020110F0000F2220D9DE60F704158BC934548544EC1,Courtesy Mooring,CPT072,3286665A869FD135,20220513,Transport (Maritime),482,5031
0101000020E61000005681AD69DEF2624080742D464A8440C0,4185,0101000020110F0000277E5C2AD8177041FB36FBCAB4C04DC1,Courtesy Mooring,NLM365,186A2AD608679DCC,20220111,Transport (Maritime),482,7052
0101000020E61000000FD1BFBF110263409FAF0212A25740C0,4186,0101000020110F000025941B14C1247041D630266167664DC1,Courtesy Mooring,NPS185,21DBF1CAE7BE2149,20220111,Transport (Maritime),482,1582
0101000020E6100000A6BBDC3A010163404E291365A75E40C0,4187,0101000020110F00009269C4A0D9237041C18B12CB93744DC1,Emergency Mooring,NPS190,0F6B09FEC6FC6940,20220111,Transport (Maritime),483,1477
0101000020E6100000F8B3CF5979F46240A74D06E3BA8640C0,4498,0101000020110F00003029DE2C3519704189573178A6C54DC1,Emergency Mooring,NLM193,D013A3C36580C23D,20220513,Transport (Maritime),483,1637
0101000020E6100000342EFFB407E96240C5B3DD9E64E640C0,4188,0101000020110F000081C521077D0F70418B0F119359884EC1,Courtesy Mooring,CMH103,3426A2E920479757,20220111,Transport (Maritime),482,1512
0101000020E6100000CC6CEFD746EA62409D96D66E26CE40C0,4189,0101000020110F000017E710128C1070414734FD9DD9564EC1,Emergency Mooring,CPT038,271572A0EEE88279,20220111,Transport (Maritime),483,1591
0101000020E6100000E2DEBB2E4FE46240410A2FAF98CA40C0,4190,0101000020110F0000A3C4ADA07A0B704118CC6C699A4F4EC1,Courtesy Mooring,CBC739,98F6FC08E65FA5D0,20220111,Transport (Maritime),482,1533
0101000020E61000008AE77E64600C6340A6D6201FF43840C0,4191,0101000020110F000018404F14822D70410D8110FF91284DC1,Courtesy Mooring,NML475,49704C755181751D,20220111,Transport (Maritime),482,1646
0101000020E6100000F0594A71F6016340CC5A93A6795740C0,4192,0101000020110F000069DC1BE3A92470414A4974CE15664DC1,Courtesy Mooring,NPS187,71C3A499DB5D5092,20220111,Transport (Maritime),482,1558
0101000020E6100000312C05A679E662401D5228C49EEC40C0,4193,0101000020110F0000DB0E2889510D70417E346E1015954EC1,Emergency Mooring,CPJ835,E037B680D51F6E7F,20220111,Transport (Maritime),483,1498
0101000020E6100000AAB1623B9F05634074C5A689095C40C0,4194,0101000020110F00008D3EB180C5277041D56DF03B4B6F4DC1,Courtesy Mooring,NPS312,087ABA2D52DC8C0F,20220111,Transport (Maritime),486,5829
0101000020E6100000E0BE502144F362407826CB10C79240C0,4195,0101000020110F00006770D58D2E1870416CA3CC1414DE4DC1,Courtesy Mooring,NLM350,B5644DD8B4F04A64,20220111,Transport (Maritime),482,7037
0101000020E61000005D3F945FF1E7624064C3487DC2E740C0,4196,0101000020110F00004DF594A3900E7041ED2780C7248B4EC1,Courtesy Mooring,CMH098,979A69ECE593812A,20220111,Transport (Maritime),482,1680
0101000020E6100000E21DD0AF1DE56240A6717693500041C0,4197,0101000020110F0000F4CE01032A0C704179A1341B66BD4EC1,Courtesy Mooring,CBB220,3BEBC2C02C5BA49B,20220111,Transport (Maritime),482,1667
0101000020E61000000E3CCA75D1E362405AED2A695DEC40C0,4198,0101000020110F000012EEFED90F0B7041126BDE658F944EC1,Emergency Mooring,CPR836,ABEE9413FFEC5B60,20220111,Transport (Maritime),483,1702
0101000020E6100000FF35C4B1CD106340007B9A3B502A40C0,4199,0101000020110F0000F70DCB9744317041BE152B181F0B4DC1,Courtesy Mooring,NWS185,9619E7C2F80541D5,20220111,Transport (Maritime),482,1642
0101000020E61000006D1FB5A679F46240EE801068C38640C0,4499,0101000020110F00007CFE2C6E35197041EEBE33BCB7C54DC1,Emergency Mooring,NLM280,235E0ED5BD0CBBD9,20220513,Transport (Maritime),483,2630
0101000020E610000060667546940A6340B7AEC01A543C40C0,4201,0101000020110F000055AB314DFB2B70413B785F425D2F4DC1,Courtesy Mooring,NML473,AEAFBF2A9095B529,20220111,Transport (Maritime),482,1506
0101000020E61000000EDDB6ACD5E6624088578229F0E340C0,4202,0101000020110F00009D1290B19F0D70415913341955834EC1,Emergency Mooring,CMH072,4EFEDD774D6BE48B,20220111,Transport (Maritime),483,1806
